"نام کالا",نماد,تالار,"تولید کننده","نوع قرارداد","قیمت پایانی میانگین   موزون","ارزش معامله (هزارریال)","پایین ترین",بالاترین,"قیمت پایه عرضه","حجم عرضه",تقاضا,"حجم قرارداد",واحد,"تاریخ معامله","عرضه کننده",کارگزار,"نوع ارز"
"شمش روی 99.98",IMCO-ZII1-00,"تالار صنعتی","فرآوری مواد معدنی ایران",نقدی,,0,,,"870,420",50,0,0,تن,1401/12/07,"فراوری مواد معدنی ایران","سی ولکس",ریال
"سیمان تیپ 2/کیسه50",NGC-CEMENT2-50L-00,"تالار سیمان","سیمان خاکستری نی ریز",نقدی,"9,720","6,823,778","9,509","9,869","6,372",702,"3,822",702,تن,1401/12/07,"سیمان خاکستری نی ریز","اندیشه و بینش پیشرو",ریال
"پلی استایرن معمولی 1540",TABC-PSGPPS1540PP-00,"تالار پتروشیمی","پتروشیمی تبریز",نقدی,"475,004","381,427,937","473,200","478,100","397,202",803,"1,958",803,تن,1401/12/07,"پتروشیمی تبریز","آرمون بورس",ریال
"اسلاک واکس سنگین 23-16",POCO-HSW1623B-00,"تالار فرآورده های نفتی","نفت پارس",نقدی,"246,387","76,872,648","241,999","247,251","126,052",312,576,312,تن,1401/12/07,"نفت پارس","تدبیرگران فردا",ریال
"سیمان پرتلند آهکی",LCC-CEMENTPOLIB-00,"تالار سیمان","کارخانجات سیمان لامرد",نقدی,"4,657","931,400","4,657","4,657","4,657","6,000",200,200,تن,1401/12/08,"کارخانجات سیمان لامرد","بانک ملی",ریال
"سیمان پرتلند آهکی",LCC-CEMENTPOLIB-00,"تالار سیمان","کارخانجات سیمان لامرد","نقدی (مچینگ)","4,657","2,328,500","4,657","4,657","4,657",0,500,500,تن,1401/12/08,"کارخانجات سیمان لامرد","بانک ملی",ریال
"سیمان تیپ 325-1/کیسه50",ESCO-CEMENT325-50L-00,"تالار سیمان","سیمان اصفهان",نقدی,"6,028","78,362,825","6,016","6,059","6,014","13,000","13,250","13,000",تن,1401/12/07,"سیمان اصفهان","اندیشه و بینش پیشرو",ریال
"سیمان تیپ 425-1",ESCO-CEMENT425B-00,"تالار سیمان","سیمان اصفهان",نقدی,"5,623","2,811,500","5,623","5,623","5,039",500,"1,200",500,تن,1401/12/07,"سیمان اصفهان","اندیشه و بینش پیشرو",ریال
"سیمان تیپ 2/کیسه50",ESCO-CEMENT2-50L-00,"تالار سیمان","سیمان اصفهان",نقدی,"6,497","6,497,000","6,497","6,497","6,497","1,000","1,000","1,000",تن,1401/12/07,"سیمان اصفهان","اندیشه و بینش پیشرو",ریال
"سیمان تیپ2",ESCO-CEMENT2B-00,"تالار سیمان","سیمان اصفهان",نقدی,"6,123","12,246,600","6,111","6,133","6,083","2,000","2,400","2,000",تن,1401/12/07,"سیمان اصفهان","اندیشه و بینش پیشرو",ریال
"سیمان تیپ 5/کیسه50",ESCO-CEMENT5-50L-00,"تالار سیمان","سیمان اصفهان",نقدی,"7,349","3,674,500","6,577","7,529","6,171",500,"1,075",500,تن,1401/12/08,"سیمان اصفهان","اندیشه و بینش پیشرو",ریال
"سیمان تیپ 5",ESCO-CEMENT5B-00,"تالار سیمان","سیمان اصفهان",نقدی,"4,771","2,385,550","4,771","4,772","4,771",500,880,500,تن,1401/12/08,"سیمان اصفهان","اندیشه و بینش پیشرو",ریال
"شمش 1000P-99.7",ALM-AP10201-00,"تالار صنعتی","آلومینیوم المهدی",نقدی,"1,388,688","694,344,000","1,355,889","1,395,999","741,743",500,"1,675",500,تن,1401/12/07,"آلومینیوم المهدی","بانک صنعت و معدن",ریال
"شمش 1000p-99.65",ALM-AP15201-00,"تالار صنعتی","آلومینیوم المهدی",نقدی,"1,404,818","702,409,100","1,388,960","1,432,899","741,443",500,"1,425",500,تن,1401/12/07,"آلومینیوم المهدی","بانک صنعت و معدن",ریال
"شمش 1000p-98",ALM-APAB981-00,"تالار صنعتی","آلومینیوم المهدی",نقدی,"1,025,501","820,400,925","1,015,960","1,033,899","721,543",800,"3,450",800,تن,1401/12/07,"آلومینیوم المهدی","بانک صنعت و معدن",ریال
"نخ پلی استر 250D48FA",PTC-POY250D48FAWP-00,"تالار پتروشیمی","پتروشیمی تندگویان",سلف,"546,091","60,069,966","542,000","555,555","443,835",110,396,110,تن,1401/12/07,"پتروشیمی شهید تندگویان","بانک سامان",ریال
"نخ پلی استر 250D48FB",PTC-POY250D48FBWP-00,"تالار پتروشیمی","پتروشیمی تندگویان",نقدی,"552,782","109,450,908","550,000","555,879","421,643",198,522,198,تن,1401/12/07,"پتروشیمی شهید تندگویان","بانک سامان",ریال
"نخ پلی استر 250D48FC",PTC-POY250D48FCWP-00,"تالار پتروشیمی","پتروشیمی تندگویان",نقدی,"486,789","6,815,046","486,789","486,789","377,260",14,70,14,تن,1401/12/07,"پتروشیمی شهید تندگویان","بانک سامان",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,015,000","80,150,000","8,015,000","8,015,000","8,015,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"نخ پلی استر 160D48FA",PTC-POY160D48FAWP-00,"تالار پتروشیمی","پتروشیمی تندگویان",سلف,"603,940","39,860,018","590,819","628,000","456,427",66,264,66,تن,1401/12/07,"پتروشیمی شهید تندگویان","بانک سامان",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,120,000","81,200,000","8,120,000","8,120,000","8,120,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,135,000","81,350,000","8,135,000","8,135,000","8,135,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"نخ پلی استر 160D48FB",PTC-POY160D48FBWP-00,"تالار پتروشیمی","پتروشیمی تندگویان",نقدی,"578,335","31,230,108","573,008","580,999","433,606",54,234,54,تن,1401/12/07,"پتروشیمی شهید تندگویان","بانک سامان",ریال
"سولفور مولیبدن",NCI-OANMMSF-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,957,000","79,570,000","7,957,000","7,957,000","7,957,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,908,000","79,080,000","7,908,000","7,908,000","7,908,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
